Artist,Track Name,Track ID,Popularity,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
NoMBe,Paint California,2ZlgqiomIrjvkuWFDSVOLY,48,0.00682,0.699,207133,0.538,0.00376,2,0.199,-7.974,1,0.0365,135.058,4,0.466
Jonah Mutono,Circulation,5VELr3zzEOxfKrGHuvvHMI,41,0.196,0.366,236920,0.572,0.00755,11,0.245,-7.117,0,0.0672,143.22,4,0.233
CJ Fly,City We From,0FjowtOXjsKqEuQ6UacW3V,39,0.491,0.463,205093,0.872,0.0,10,0.254,-3.571,0,0.332,150.212,4,0.697
Poundside Pop,Off Top,0peXu4NCwKoIHfw66wqV7K,37,0.206,0.852,152115,0.438,0.0,0,0.113,-7.654,1,0.106,142.023,4,0.105
Kierra Luv,Don't I,6q5KjgL6WIxirT4KXAGTo2,43,0.0559,0.977,131805,0.555,0.0,5,0.0767,-6.718,1,0.218,110.008,4,0.441
Kilo Kish,BOTH SIDES,3TAH29DxFFiuLdaHOkHA7k,39,4.17e-05,0.591,253573,0.873,0.0168,1,0.0929,-4.36,1,0.0337,114.981,4,0.446
Beshken,Holding Me,7nvsExAU42OUwcOjvcGneu,44,0.0484,0.743,180224,0.605,0.543,4,0.1,-8.119,1,0.0519,90.009,4,0.165
DOUBLECAMP,Light On,7o7BhlRuR2U1zPR7hfwTCA,40,0.00747,0.597,181517,0.725,0.0,3,0.14,-3.989,1,0.0588,179.945,4,0.627
Brad Paisley,Alive Right Now,4l2cpm7Q6j2LhCEhE6op5z,48,0.0889,0.418,190617,0.715,0.0,0,0.0969,-3.976,1,0.0371,145.93,4,0.332
The Who,Detour,0UA9nE47FbV0W5vhTjSy4N,52,0.0636,0.579,226200,0.877,0.0626,2,0.328,-5.595,1,0.0713,88.003,4,0.328
Five Finger Death Punch,Inside Out,4Htt3QaBWdLggq88rJI5MU,65,0.00191,0.476,226349,0.991,0.0,4,0.121,-2.855,0,0.15,82.997,4,0.202
Nick Wilson,Say It Now,0UkwLJL3rIop8vwAwGHjDd,43,0.437,0.629,203490,0.434,0.0,2,0.0977,-10.854,1,0.0558,131.975,4,0.268
Paige,Too Much To H8,3jsZnIOR0xnPg9XB8Ah7RQ,35,0.771,0.809,172124,0.362,0.0,9,0.109,-8.531,1,0.0676,81.946,4,0.394
Steve James,still ain't you (feat. Nea),10LVaOabM3lgtmsFAZxr6v,41,0.00244,0.756,133947,0.552,0.00708,8,0.0786,-9.831,1,0.0482,121.99,4,0.505
D. Muñoz,TYPA LUV,1wgxvcXugBLoR1rj3NTiH1,40,0.543,0.648,130839,0.488,0.0,2,0.119,-7.497,1,0.127,95.895,4,0.247
Lancey Foux,PSYKENIGHT,64cMebVuBhnnVWxmF8WwVV,46,0.0538,0.801,148859,0.854,0.0,11,0.685,-10.067,1,0.469,140.146,4,0.648
Westside Tut,How I'm Leaving,79negouvhOvZdSbvfT5orV,36,0.123,0.694,195195,0.53,0.0,10,0.0652,-9.858,0,0.358,149.763,4,0.342
JAY-Z,Can I Live,20U1I32q6kX0Nmy4u8CvUg,52,0.0818,0.624,248573,0.692,0.0,9,0.161,-12.365,1,0.433,76.44,4,0.576
